Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,avg_shipping_time,daily_order_volume,monthly_stock_variation,regional_sales_growth,market_competition_index,transportation_cost,fuel_price_index,ad_campaign_effectiveness
WH_122951,EID_72951,Rural,Mid,West,Zone 2,3,0,4,3391,Company Owned,61,1,0,1,122,20.0,2011.0,20,0,A,2,18,27090,5.82,177,-0.16,1.06,5,128.43955543824498,80.37435867759505,0.94
WH_103947,EID_53947,Rural,Mid,South,Zone 3,5,0,3,4970,Company Owned,47,0,0,1,56,29.0,2019.0,4,1,A,2,19,5075,6.42,424,-0.06,1.15,7,58.95586151263704,75.60161268701631,1.11
WH_118310,EID_68310,Urban,Large,North,Zone 6,4,2,2,7126,Company Owned,55,0,1,1,141,27.0,2013.0,11,1,A+,2,6,15122,4.27,430,0.13,1.08,3,148.4424370228897,92.11134996123845,1.26
WH_103284,EID_53284,Rural,Mid,North,Zone 4,4,4,3,5198,Rented,28,0,0,1,55,37.0,,0,0,,0,26,3119,5.2,451,0.17,1.11,5,57.90307827133996,105.9395322704153,1.03
WH_104269,EID_54269,Urban,Mid,North,Zone 4,4,0,2,4769,Rented,23,0,0,1,78,26.0,2015.0,9,0,C,4,26,12069,9.46,404,-0.05,1.02,4,82.11709282117303,81.79582501144938,0.87
WH_115218,EID_65218,Rural,Mid,South,Zone 3,7,0,2,3596,Company Owned,60,1,0,1,166,31.0,2013.0,15,0,B+,2,19,19115,3.16,297,-0.02,1.03,5,174.76201805531696,102.14899331274032,0.86
WH_112849,EID_62849,Rural,Mid,South,Zone 4,5,0,2,4169,Company Owned,66,0,0,1,230,27.0,2020.0,6,0,C,3,26,9116,5.65,355,-0.12,1.1,5,242.14014549833072,111.38764647317242,1.22
WH_101624,EID_51624,Rural,Large,North,Zone 5,3,0,4,5118,Company Owned,60,0,0,0,239,20.0,2020.0,8,0,C,2,14,10065,2.58,390,-0.06,1.01,1,251.61519467000457,92.63122036556146,1.01
WH_106667,EID_56667,Rural,Large,West,Zone 5,8,0,5,6227,Company Owned,22,0,0,1,84,36.0,2003.0,22,1,C,6,14,30141,7.7,185,-0.07,1.14,9,88.43379226895557,88.49382327710103,1.26
WH_109976,EID_59976,Rural,Mid,West,Zone 2,5,1,4,4430,Rented,69,0,0,1,167,28.0,2008.0,22,1,A,6,12,29132,5.37,359,0.09,1.03,1,175.81480129661404,117.64629607793374,1.12
WH_105211,EID_55211,Rural,Large,West,Zone 5,2,0,3,5475,Rented,22,0,0,0,155,,,29,0,C,2,14,39055,2.97,255,0.13,1.03,3,163.18140240104896,76.74022783713835,0.89
WH_123971,EID_73971,Rural,Large,North,Zone 6,2,2,3,4762,Company Owned,66,1,0,1,183,24.0,,10,0,A,3,23,13135,5.8,321,0.13,1.03,8,192.65933315736748,106.32410887964863,0.88
WH_119659,EID_69659,Rural,Mid,North,Zone 2,4,1,3,6294,Rented,49,0,0,1,176,25.0,2002.0,26,0,C,6,22,34069,5.24,425,0.18,1.09,3,185.28985046828785,115.36547398125136,1.22
WH_115570,EID_65570,Rural,Large,South,Zone 6,6,1,2,3226,Rented,48,0,0,0,170,20.0,2018.0,8,0,B,5,23,10129,8.87,348,-0.08,1.13,9,178.97315102050533,94.57604819625614,0.96
WH_105706,EID_55706,Rural,Mid,West,Zone 4,4,0,2,4290,Company Owned,42,0,0,0,137,25.0,2014.0,16,1,A+,4,11,23075,9.06,485,0.06,1.05,8,144.23130405770135,106.44954038494107,1.16
WH_103122,EID_53122,Urban,Mid,North,Zone 4,2,5,2,6362,Company Owned,29,0,0,0,83,29.0,,14,0,B+,3,26,17128,1.56,203,-0.04,1.02,4,87.38100902765848,75.2811269391334,1.16
WH_115878,EID_65878,Rural,Large,North,Zone 6,1,0,3,2866,Rented,17,0,0,0,125,23.0,,25,0,B,2,23,29144,1.66,383,-0.16,1.03,3,131.59790516213627,108.38448508082767,1.22
WH_100790,EID_50790,Rural,Small,South,Zone 1,1,0,4,6394,Rented,57,0,0,1,224,25.0,,15,0,A,5,16,19118,2.38,476,-0.18,1.11,1,235.82344605054817,91.08453452761589,1.14
WH_116568,EID_66568,Rural,Mid,South,Zone 3,0,0,2,4338,Company Owned,31,0,0,1,105,27.0,,12,0,A+,4,27,17145,9.97,54,0.12,1.01,2,110.54224033619448,95.1173528546218,1.01
WH_100499,EID_50499,Urban,Large,North,Zone 6,2,3,3,3742,Rented,25,0,0,0,243,18.0,,20,0,C,4,28,25085,9.88,299,-0.12,1.08,3,255.8263276351929,77.21555991264898,1.13
WH_101576,EID_51576,Rural,Mid,West,Zone 3,0,2,4,3980,Company Owned,69,0,0,1,172,27.0,,25,0,A+,6,19,32115,1.21,248,-0.15,1.02,7,181.0787175030995,110.90848411192022,0.9
WH_124792,EID_74792,Rural,Mid,South,Zone 3,7,0,3,4430,Rented,68,0,1,1,131,30.0,2010.0,21,0,B+,6,19,26139,7.58,193,-0.05,1.08,4,137.9146046099188,99.5515171067778,1.06
WH_100335,EID_50335,Rural,Small,North,Zone 1,4,4,3,5497,Rented,29,0,0,1,180,23.0,2006.0,22,0,B+,4,21,26140,1.37,472,-0.01,1.11,2,189.50098343347625,97.6470432064171,1.03
WH_117581,EID_67581,Rural,Mid,West,Zone 4,0,0,5,8135,Company Owned,39,0,0,0,128,30.0,,34,0,A,6,26,47061,4.32,308,0.12,1.06,3,134.7562548860275,90.84628349871824,0.86
WH_122282,EID_72282,Rural,Large,West,Zone 5,3,1,3,5223,Rented,26,0,0,1,270,28.0,2004.0,37,1,A+,4,25,49133,8.99,64,-0.04,1.11,7,284.25147515021433,110.60596934144928,1.02
WH_121257,EID_71257,Rural,Large,North,Zone 5,4,0,2,5035,Rented,55,0,0,0,137,17.0,2008.0,20,0,A,6,14,25075,3.47,164,0.14,1.15,6,144.23130405770135,118.10050034133202,1.24
WH_105764,EID_55764,Urban,Small,West,Zone 1,7,0,5,6022,Company Owned,61,0,0,1,212,25.0,1997.0,30,1,A+,4,30,40150,8.87,333,-0.15,1.12,1,223.1900471549831,88.87932408076165,1.02
WH_122610,EID_72610,Urban,Small,North,Zone 1,8,2,2,5721,Rented,46,0,0,0,72,29.0,,5,1,A,2,30,6108,5.53,86,0.17,1.11,2,75.80039337339049,113.23707516362268,0.93
WH_104560,EID_54560,Rural,Mid,West,Zone 3,4,0,4,3665,Rented,69,0,0,1,76,42.0,2001.0,33,1,A,4,19,43068,7.48,183,-0.0,1.15,2,80.01152633857885,111.58332441138204,1.28
WH_102621,EID_52621,Rural,Large,West,Zone 5,5,0,2,4868,Rented,58,0,1,1,120,,2011.0,19,1,B,6,14,24127,9.03,381,0.18,1.14,9,126.3339889556508,115.9201770162848,1.09
WH_102112,EID_52112,Rural,Small,West,Zone 1,5,0,3,5494,Company Owned,35,0,0,1,75,49.0,2011.0,18,1,A+,2,21,23099,2.66,83,0.06,1.14,6,78.95874309728175,111.38271080131358,1.3
WH_124772,EID_74772,Rural,Large,West,Zone 5,7,3,2,4545,Company Owned,23,0,0,1,85,22.0,,11,0,A,6,10,14140,5.64,282,-0.02,1.13,9,89.48657551025266,95.80297091010524,1.31
WH_109252,EID_59252,Rural,Large,North,Zone 5,4,0,2,4268,Company Owned,23,0,0,1,121,25.0,2011.0,21,1,A+,2,5,29105,3.24,198,0.09,1.12,8,127.3867721969479,99.53985782203765,1.31
WH_118841,EID_68841,Rural,Small,North,Zone 1,6,0,3,3847,Company Owned,46,1,0,1,108,31.0,2005.0,17,1,A+,5,31,22148,9.59,58,0.13,1.07,5,113.70059006008572,112.61484325840914,1.07
WH_120216,EID_70216,Urban,Large,West,Zone 5,0,0,4,5201,Rented,23,0,0,0,225,,,36,0,A+,6,14,49118,7.79,244,-0.09,1.12,6,236.87622929184528,107.1758603651081,1.25
WH_113295,EID_63295,Rural,Mid,North,Zone 4,5,1,3,4585,Rented,16,0,0,1,155,24.0,,25,0,B+,6,26,29117,2.98,430,-0.15,1.06,9,163.18140240104896,87.24409028921696,1.11
WH_109040,EID_59040,Rural,Large,North,Zone 6,8,1,3,3418,Company Owned,62,0,0,1,211,24.0,2018.0,14,0,A,4,6,19077,2.31,237,0.01,1.14,7,222.137263913686,89.63683274125822,1.16
WH_103479,EID_53479,Rural,Large,West,Zone 6,8,0,4,5137,Rented,35,0,0,0,218,16.0,2016.0,11,0,A,4,23,15079,4.62,359,0.16,1.14,1,229.50674660276565,98.13320182411664,1.15
WH_112393,EID_62393,Rural,Large,West,Zone 6,4,1,4,4544,Rented,53,0,0,0,92,16.0,,14,0,B+,2,23,17133,8.84,484,-0.05,1.07,5,96.8560581993323,111.57156768008436,1.07
WH_105625,EID_55625,Rural,Large,North,Zone 5,7,0,3,6991,Company Owned,60,0,0,1,256,29.0,2006.0,24,0,C,2,14,32118,8.59,307,0.13,1.12,3,269.51250977205507,76.29962125860945,1.24
WH_106876,EID_56876,Rural,Mid,North,Zone 2,3,0,2,4250,Company Owned,29,0,0,0,90,31.0,2008.0,15,0,C,6,18,20142,2.74,440,0.15,1.05,5,94.75049171673813,78.05518289895396,0.87
WH_122211,EID_72211,Rural,Small,North,Zone 6,1,1,2,5799,Company Owned,43,0,0,1,178,32.0,,8,0,B+,4,8,10060,3.83,420,0.1,1.11,9,187.39541695088204,82.00176442437153,1.14
WH_103615,EID_53615,Rural,Large,West,Zone 5,7,0,3,5115,Rented,25,0,1,1,260,26.0,2017.0,6,0,B,5,10,7060,1.78,422,-0.19,1.11,8,273.72364273724344,108.83313673193732,1.28
WH_102003,EID_52003,Rural,Large,West,Zone 6,6,3,3,5602,Company Owned,60,0,0,1,256,27.0,,27,0,A,5,23,34133,3.25,264,-0.15,1.01,2,269.51250977205507,98.93222716245846,0.97
WH_101330,EID_51330,Rural,Large,North,Zone 6,8,0,3,5132,Company Owned,67,0,0,1,137,32.0,2011.0,19,1,A+,6,29,25121,6.0,90,0.01,1.03,9,144.23130405770135,70.56403013378323,0.9
WH_102855,EID_52855,Rural,Large,North,Zone 6,3,0,2,5619,Company Owned,59,0,0,1,135,31.0,2020.0,7,0,B,3,28,8108,5.55,458,0.19,1.06,1,142.12573757510717,110.34264583208292,0.96
WH_110551,EID_60551,Rural,Large,North,Zone 5,6,0,2,3813,Company Owned,30,0,0,1,225,21.0,1998.0,25,0,B,3,14,31134,4.62,404,0.13,1.03,5,236.87622929184528,103.7544593430048,1.12
WH_113587,EID_63587,Rural,Large,North,Zone 6,7,0,2,2303,Rented,54,0,0,0,125,39.0,2017.0,11,0,A,3,6,15067,2.53,489,-0.04,1.06,9,131.59790516213627,117.46929653885364,0.94
WH_124741,EID_74741,Rural,Mid,South,Zone 3,3,0,2,4058,Company Owned,47,1,0,1,154,30.0,1999.0,34,0,C,3,19,46127,3.17,283,0.0,1.12,9,162.12861915975188,72.56495209426923,1.08
WH_122816,EID_72816,Rural,Large,South,Zone 6,4,0,2,5642,Company Owned,62,1,0,1,115,33.0,2015.0,15,0,B+,4,29,18091,5.24,77,-0.01,1.09,9,121.07007274916536,118.99165359584536,0.88
WH_118737,EID_68737,Rural,Mid,West,Zone 3,1,1,3,4848,Rented,50,0,0,0,85,26.0,,0,0,,0,19,3059,3.5,281,0.06,1.05,9,89.48657551025266,80.03935603778334,1.01
WH_121127,EID_71127,Rural,Mid,West,Zone 4,4,1,4,5854,Rented,17,0,0,1,160,37.0,2018.0,5,1,C,3,26,6077,8.14,342,0.06,1.08,9,168.44531860753443,75.62391904789331,1.25
WH_122568,EID_72568,Rural,Mid,North,Zone 2,3,0,2,7505,Rented,51,0,0,1,138,26.0,2022.0,0,0,,0,12,5090,1.75,121,-0.16,1.11,2,145.28408729899843,111.3904672714676,0.92
WH_104072,EID_54072,Rural,Small,South,Zone 6,8,0,3,4130,Rented,27,0,0,1,143,,2008.0,23,1,A+,2,2,33120,6.35,58,0.0,1.12,5,150.54800350548388,97.66998488271616,0.93
WH_110140,EID_60140,Rural,Small,North,Zone 1,6,1,3,5635,Rented,69,0,0,0,126,21.0,,22,0,A,4,31,28069,1.29,327,-0.06,1.1,5,132.65068840343335,112.68600210010143,1.21
WH_113915,EID_63915,Urban,Mid,South,Zone 4,4,2,1,6343,Rented,62,0,0,0,190,18.0,2006.0,15,0,B+,5,11,18135,7.72,313,-0.12,1.1,2,200.02881584644712,92.77526377145767,0.93
WH_101703,EID_51703,Rural,Mid,West,Zone 3,6,0,4,3943,Rented,30,0,0,1,151,26.0,,5,1,C,1,19,7071,5.56,114,0.19,1.06,6,158.97026943586062,90.29400188104592,1.14
WH_116722,EID_66722,Rural,Mid,West,Zone 2,5,0,3,4864,Company Owned,41,0,0,1,209,37.0,2009.0,19,0,B,3,18,23078,6.59,139,0.14,1.04,1,220.03169743109183,80.74026130435266,0.89
WH_117776,EID_67776,Urban,Mid,South,Zone 2,5,2,3,4521,Rented,34,1,0,1,231,22.0,,19,1,C,2,32,25071,8.51,98,0.14,1.04,2,243.1929287396278,73.60371333281154,1.06
WH_117631,EID_67631,Rural,Large,South,Zone 6,1,0,2,5649,Rented,68,0,0,0,261,27.0,,28,0,B,3,29,35067,5.47,419,-0.03,1.07,9,274.77642597854054,101.82631759414237,0.95
WH_114513,EID_64513,Rural,Mid,North,Zone 4,0,0,4,4736,Company Owned,49,0,0,0,239,29.0,,5,0,B,3,26,6117,3.08,363,-0.0,1.08,3,251.61519467000457,113.06677652540613,1.17
WH_111466,EID_61466,Rural,Mid,West,Zone 2,8,0,3,3997,Company Owned,51,0,0,1,243,31.0,2002.0,23,1,B,2,18,30092,2.2,132,-0.19,1.11,4,255.8263276351929,87.47210431362042,0.92
WH_104874,EID_54874,Rural,Large,West,Zone 5,3,2,4,3793,Company Owned,41,0,0,1,233,29.0,,9,1,B,2,10,11088,3.7,56,0.14,1.14,8,245.298495222222,106.55311549457058,1.11
WH_100031,EID_50031,Rural,Large,North,Zone 6,4,0,2,3540,Rented,21,0,0,0,164,19.0,2009.0,18,1,B+,6,23,21064,2.53,446,0.05,1.05,3,172.65645157272277,79.97244542447713,1.11
WH_100697,EID_50697,Rural,Mid,North,Zone 4,7,1,3,4325,Rented,43,0,0,0,248,18.0,1998.0,24,0,C,3,26,32055,6.23,386,0.06,1.11,1,261.09024384167833,75.11108303065966,1.26
WH_108039,EID_58039,Rural,Large,North,Zone 5,0,0,2,6287,Rented,49,0,0,0,88,19.0,,16,0,A+,5,24,22095,9.76,408,-0.06,1.06,2,92.64492523414393,88.98348214688788,1.22
WH_105377,EID_55377,Rural,Small,West,Zone 6,6,3,5,5975,Company Owned,51,0,1,1,192,37.0,,16,0,A,6,9,20057,4.08,238,0.18,1.01,3,202.1343823290413,86.90227091858917,1.16
WH_100631,EID_50631,Rural,Mid,West,Zone 3,3,0,4,4197,Rented,55,0,0,1,89,29.0,2008.0,21,0,A,3,19,29135,9.06,65,-0.1,1.12,7,93.69770847544102,80.58621479733452,1.27
WH_122600,EID_72600,Rural,Mid,South,Zone 2,3,1,2,4855,Rented,27,0,0,0,103,24.0,2003.0,34,1,C,5,32,45061,6.22,66,0.13,1.1,3,108.43667385360028,105.01179683347463,1.21
WH_113190,EID_63190,Rural,Small,West,Zone 6,2,0,3,4922,Company Owned,57,0,0,1,261,26.0,,20,0,A+,2,8,28088,8.54,224,0.1,1.05,1,274.77642597854054,110.91797502106036,0.91
WH_116010,EID_66010,Rural,Mid,North,Zone 3,1,0,3,3995,Rented,47,0,0,0,150,29.0,,5,0,C,4,19,7087,1.4,96,-0.02,1.08,4,157.9174861945635,86.51302655724707,0.96
WH_116190,EID_66190,Rural,Large,East,Zone 5,6,0,5,5666,Rented,34,0,0,1,63,39.0,2006.0,24,1,C,3,14,33103,6.03,356,-0.1,1.04,6,66.32534420171667,114.11593676794683,1.0
WH_104767,EID_54767,Urban,Small,North,Zone 6,2,0,2,5360,Rented,26,0,0,1,186,30.0,,5,0,B+,3,8,7116,1.88,488,0.02,1.07,6,195.81768288125875,111.43013047735936,0.94
WH_107499,EID_57499,Rural,Large,North,Zone 6,7,3,4,4530,Company Owned,53,1,0,1,77,33.0,,22,0,C,3,29,28094,7.02,378,-0.12,1.04,7,81.06430957987594,70.59485921451495,0.93
WH_105847,EID_55847,Rural,Mid,South,Zone 3,3,0,3,4463,Company Owned,28,0,0,1,221,30.0,2018.0,6,1,C,6,19,8131,7.62,484,0.17,1.09,6,232.6650963266569,97.88232368369871,1.16
WH_114284,EID_64284,Rural,Mid,West,Zone 4,4,0,4,4317,Company Owned,21,0,0,1,154,30.0,2005.0,27,0,B,5,11,31058,5.05,230,0.02,1.08,1,162.12861915975188,89.96196854214054,1.24
WH_110117,EID_60117,Rural,Large,North,Zone 5,2,2,2,5808,Company Owned,58,0,0,1,180,35.0,,27,0,A,2,24,34107,6.51,264,-0.13,1.07,7,189.50098343347625,113.29267783143658,0.86
WH_111143,EID_61143,Rural,Mid,North,Zone 4,7,0,2,4874,Company Owned,48,0,0,1,186,31.0,2016.0,20,0,B+,4,26,25118,7.94,432,-0.17,1.04,1,195.81768288125875,84.17503350812927,1.12
WH_118826,EID_68826,Rural,Small,South,Zone 1,0,1,2,5001,Company Owned,65,0,0,1,262,29.0,,24,0,A,6,16,32065,7.35,128,-0.03,1.01,9,275.8292092198376,71.26807379941397,1.17
WH_104600,EID_54600,Rural,Large,North,Zone 6,4,1,4,4610,Company Owned,15,0,0,1,248,36.0,,13,0,B+,6,23,15138,2.79,370,-0.05,1.12,2,261.09024384167833,106.26531312687833,1.05
WH_117498,EID_67498,Rural,Mid,West,Zone 3,4,0,2,3199,Rented,15,0,0,0,133,26.0,2007.0,20,0,C,6,19,25125,5.32,461,-0.07,1.1,7,140.02017109251298,113.6648211721122,1.12
WH_113038,EID_63038,Rural,Large,North,Zone 5,3,0,3,8711,Rented,21,0,0,0,256,21.0,2016.0,13,0,A,5,5,18128,6.71,295,-0.19,1.12,3,269.51250977205507,96.25504970607167,1.13
WH_103817,EID_53817,Urban,Large,West,Zone 5,0,2,2,5035,Company Owned,56,0,1,1,113,26.0,,10,0,C,1,25,13104,8.41,401,-0.02,1.02,3,118.96450626657118,98.70653821853736,0.99
WH_122880,EID_72880,Rural,Mid,South,Zone 2,3,0,4,5573,Rented,70,0,0,0,271,34.0,2004.0,37,1,B+,5,32,47102,7.24,294,-0.01,1.1,9,285.30425839151144,107.43405600183848,0.98
WH_107585,EID_57585,Rural,Mid,South,Zone 2,5,0,4,4421,Rented,26,0,0,0,214,29.0,2019.0,8,0,B,1,32,10080,7.08,429,0.19,1.05,9,225.29561363757728,75.64225251170939,1.22
WH_102900,EID_52900,Urban,Large,North,Zone 6,1,0,3,3971,Company Owned,22,0,0,1,58,26.0,,34,1,A+,3,23,48116,2.15,298,-0.09,1.08,9,61.06142799523123,95.50554100272518,1.08
WH_117662,EID_67662,Rural,Large,North,Zone 6,5,0,2,4708,Rented,69,0,0,1,221,35.0,2013.0,21,0,B,6,28,26119,9.76,92,0.08,1.1,1,232.6650963266569,114.59344855047252,0.92
WH_113164,EID_63164,Rural,Large,North,Zone 6,6,0,3,3445,Company Owned,62,0,0,1,152,31.0,2015.0,9,1,A,2,28,12069,3.87,155,0.08,1.1,3,160.0230526771577,91.14431724807092,1.24
WH_122523,EID_72523,Rural,Large,South,Zone 5,0,0,3,3125,Rented,37,0,0,0,239,19.0,,17,0,A,4,25,23108,4.62,317,0.08,1.07,2,251.61519467000457,85.34254104677522,1.08
WH_103264,EID_53264,Rural,Small,South,Zone 1,6,0,3,5436,Company Owned,15,0,0,0,109,22.0,2023.0,0,0,,0,21,6103,8.13,162,0.09,1.13,5,114.75337330138282,104.36781466045186,1.25
WH_117151,EID_67151,Urban,Small,West,Zone 6,6,4,2,5279,Rented,57,0,0,0,136,22.0,2005.0,26,0,A,6,8,33072,5.1,429,-0.08,1.06,3,143.17852081640424,94.42735824484431,1.25
WH_106293,EID_56293,Rural,Large,South,Zone 6,0,0,2,6752,Rented,33,0,0,1,57,26.0,,21,0,C,6,29,28096,3.88,299,-0.11,1.09,9,60.008644753934135,75.43001810638437,1.13
WH_105954,EID_55954,Rural,Large,North,Zone 5,7,0,3,4946,Company Owned,68,0,0,0,166,36.0,2015.0,21,1,A+,2,24,31144,1.4,58,0.15,1.06,2,174.76201805531696,111.03846211967291,1.23
WH_110300,EID_60300,Rural,Small,North,Zone 6,4,0,2,5488,Rented,15,0,0,0,72,26.0,2006.0,36,1,A,3,9,51137,9.2,344,-0.19,1.06,3,75.80039337339049,85.86181837063381,1.17
WH_124918,EID_74918,Rural,Small,South,Zone 1,8,0,2,5579,Rented,41,0,0,0,117,20.0,1998.0,38,0,C,5,16,52101,7.66,396,-0.02,1.04,1,123.17563923175956,96.1530245387781,1.05
WH_103388,EID_53388,Rural,Mid,East,Zone 3,5,4,6,5066,Company Owned,64,0,0,0,79,24.0,2014.0,10,0,B,1,27,12146,1.35,236,-0.18,1.05,2,83.16987606247012,72.92189800194996,0.98
WH_103310,EID_53310,Rural,Large,South,Zone 5,3,3,3,4800,Company Owned,64,0,0,0,169,20.0,2004.0,24,1,A+,6,14,31110,7.5,94,0.05,1.06,3,177.92036777920822,75.23612057213026,1.07
